angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
175,resampled_image,full_image,gd,8,0.14163,0.0797255,0.142355,0.0825891,0.0242722,0.0209143,0.98355,0.847345
175,resampled_image,random,adam,8,0.662987,0.0956245,0.679503,0.0917925,0.169272,0.094771,6.86557,3.8482
175,resampled_image,random,gd,8,0.386715,0.142631,0.393275,0.150331,0.0614699,0.0288509,2.49077,1.16922
180,rotated_directions,full_image,adam,8,0.0194003,0.014285,0.0192916,0.0141618,0.00340592,0.00296011,0.137988,0.119927
180,rotated_directions,full_image,gd,8,0.0598987,0.0613388,0.0601785,0.0622274,0.00992217,0.0114728,0.401994,0.464822
180,rotated_directions,random,adam,8,0.631019,0.112049,0.644685,0.119944,0.148113,0.136168,6.01202,5.53963
180,rotated_directions,random,gd,8,0.397941,0.139293,0.399631,0.146287,0.0641499,0.0288866,2.59933,1.17068
180,resampled_image,full_image,adam,8,0.0176013,0.00951138,0.0175383,0.00946124,0.00328073,0.00258515,0.132916,0.104735
180,resampled_image,full_image,gd,8,0.0513285,0.0549079,0.050962,0.0543844,0.0106412,0.0126877,0.431126,0.514044
180,resampled_image,random,adam,8,0.591907,0.0960228,0.592853,0.106165,0.108647,0.0588966,4.40372,2.38856
180,resampled_image,random,gd,8,0.421611,0.145783,0.422295,0.147233,0.0562392,0.034371,2.27881,1.39299
185,rotated_directions,full_image,adam,8,0.453539,0.0742436,0.443412,0.0643362,0.106585,0.0533208,4.32004,2.16299
185,rotated_directions,full_image,gd,8,0.0579093,0.0485461,0.0578389,0.0488599,0.0122087,0.0100912,0.495393,0.408073
185,rotated_directions,random,adam,8,0.659421,0.121931,0.658145,0.141463,0.193754,0.139092,7.86736,5.67087
185,rotated_directions,random,gd,8,0.413133,0.116286,0.416496,0.121857,0.0619871,0.0400327,2.51187,1.62247
185,resampled_image,full_image,adam,8,0.451841,0.0771588,0.44294,0.065065,0.097869,0.0487519,3.96653,1.9774
